WGS84 UTM 32N
-48.57062328886241 21.102818825282156 117.87
114.97150290769059 74.64635202474892 117.68
-94.72670455736807 -67.07511603739113 116.17
129.19466261810157 -18.370033621788025 116.21
93.5459776831558 17.226296758279204 116.2
129.1033308498445 -6.92108753696084 115.76
91.2297715684399 -72.04807435441762 117.73
128.37495314038824 16.167743646539748 117.02
-51.22616343596019 -45.87529071606696 116.92
74.30459721456282 40.13542197085917 116.77
-135.4653372495668 -21.237529543228447 117.2
47.96788248728262 -48.52369123045355 116.32
107.18741776206298 39.19732184894383 116.47
-17.72997053945437 -69.09625262673944 117.5
-91.6937975003384 -22.40362825244665 117.36
-79.78692140558269 44.342699772678316 117.82
-38.166418786509894 -1.502844619564712 115.76
7.707931328099221 -25.120279725641012 116.12
-7.072548065974843 -69.31646592635661 117.49
-57.813106410438195 43.643076851964 117.74
105.09495597938076 -5.450165120884776 115.72
93.64594980305992 61.90908288396895 118.82
129.2820551310433 -28.6102386796847 116.09
69.22598570445552 -49.06429690681398 115.95
-40.00737607199699 -68.56480823457241 117.08
72.36408845114056 -26.81564101111144 116.19
-5.977060915960465 64.6393816890195 119.48
-125.90862668521004 1.0011341199278831 116.59
70.80040750547778 62.56360889784992 119.21
-13.456016193085816 42.49888150393963 117.47
125.83897365769371 61.181389259174466 117.95
39.84381207439583 -3.4732865113765 115.85
61.258225369267166 -4.138714044354856 115.41
39.24894872336881 18.768085001967847 116.63
-36.46756655606441 -23.934840509667993 116.24
5.389469668967649 64.36909386515617 119.6
104.68820919387508 61.61377866379917 118.64
-52.07926440401934 -68.22589237987995 117.02
51.068919531069696 -26.224584215320647 116.2
-16.578975806944072 64.97865833435208 119.5
96.69787792733405 84.25281345006078 118.31
128.3051320356899 26.558940623886883 116.77
-27.17715659039095 20.663232872262597 117.73
-4.767998319584876 19.961342988535762 117.61
-128.87218770978507 -21.385081223212183 117.08
-5.276376329944469 -2.327485783956945 115.46
71.54544359532883 17.93834489583969 116.75
117.17259218823165 -69.87431506440043 117.49
14.898821584589314 -69.9105868730694 117.61
102.25650325440802 -49.97548408154398 116.17
-48.0900429332396 -23.577174204401672 116.58
-116.97544822678901 -43.99112999159843 117.37
105.74987503996817 16.933609970845282 116.17
-114.92709063505754 23.009599070064723 116.61
-113.88439396384638 -21.732006568461657 116.94
-18.46227810473647 -46.746050220914185 116.9
15.863593969377689 64.14769081585109 119.49
-139.4689870168222 -22.201781576499343 117.43
41.23968497023452 41.03538251109421 117.17
40.04094203514978 -25.89246403146535 116.02
-23.757217235281132 42.84858514647931 117.42
127.0857832323527 -5.954694692976773 115.72
-46.7545737278997 43.520108071155846 117.84
-135.48547650070395 45.61827286332846 119.25
-92.62538697523996 22.251496694982052 116.61
75.17062029917724 84.86242599785328 119.21
38.54637004219694 63.45713237673044 119.33
85.55670128704514 39.83440653141588 116.56
-35.705823286785744 43.177956994622946 117.68
-16.29015855473699 -2.041991694830358 115.39
113.25943100848235 -50.38097700569779 116.34
-39.268859506817535 65.62019785493612 119.31
118.98455749661662 38.89401775598526 116.18
81.47623432916589 -71.73812379688025 117.79
25.268376073916443 -47.9347523432225 116.59
72.84784946398577 -4.498334712348878 115.45
-136.6155456157867 23.510090340860188 116.28
-59.61808519763872 21.494419237598777 117.57
-71.11182665696833 21.623006783425808 117.32
-115.9820415431168 67.7237206613645 118.5
-62.78095950803254 -67.9332903623581 116.52
-137.62750554224476 10.888522798195481 117.27
28.104911995236762 19.149740177206695 116.81
116.22271869104588 -5.723019050434232 115.67
-73.35869668563828 -45.26106231659651 117.23
103.02365534898126 -72.33895165659487 117.35
52.69046824070392 85.349514384754 120.12
81.80479493481107 -49.45990154147148 116.11
128.21629790513543 38.3138428311795 115.97
-132.89066061540507 55.520064170472324 119.12
-71.00324055174133 -0.5619663251563907 116.21
28.539236012962647 -3.399499465711415 115.93
-127.26870660868008 -43.768175481818616 117.26
93.99441772978753 -27.406391939148307 115.41
-60.75494512467412 66.1179895317182 119.23
